plate_diameter_m,test_id,excitation_V,lvdt_mV,load_cell_mV_per_V
0.076,small-1,10.0511,-0.99981,0.0001
0.076,small-1,10.0511,-0.66976,0.0085
0.076,small-1,10.0511,0.80025,0.0178
0.076,small-1,10.0511,2.0003,0.025
0.076,small-1,10.0511,4.2002,0.0342
0.076,small-1,10.0511,5.5001,0.0428
0.076,small-1,10.0511,7.1002,0.0518
0.076,small-1,10.0511,8,0.0602
0.076,small-1,10.0511,8.9003,0.0686
0.076,small-1,10.0511,10,0.0772
0.076,small-1,10.0511,13,0.0945
0.076,small-1,10.0511,14.31,0.111
0.076,small-1,10.0511,16.71,0.1289
0.076,small-1,10.0511,18.7,0.1457
0.076,small-1,10.0511,21,0.1629
0.076,small-1,10.0511,29.51,0.2049
0.076,small-1,10.0511,39.4,0.2465
0.076,small-1,10.0511,59.2,0.2888
0.076,small-1,10.0511,100.5,0.3302
0.076,small-1,10.0511,166.7,0.3715
0.076,small-1,10.0511,169.5,0.413
0.076,small-1,10.0511,275.99,0.4557
0.076,small-1,10.0511,294.9,0.4957
0.076,small-1,10.0511,401.3,0.5503
0.076,small-1,10.0511,403.99,0.5997
0.076,small-1,10.0511,516.59,0.6907
0.076,small-1,10.0511,535.6,0.7482
0.076,small-2,10.051,0.00011921,-0.0008
0.076,small-2,10.051,0.11039,0.0041
0.076,small-2,10.051,0.5002,0.0104
0.076,small-2,10.051,1.6,0.0187
0.076,small-2,10.051,2.8001,0.027
0.076,small-2,10.051,3.8003,0.0355
0.076,small-2,10.051,5.2002,0.0443
0.076,small-2,10.051,5.9001,0.0533
0.076,small-2,10.051,6.7003,0.062
0.076,small-2,10.051,7.3001,0.0699
0.076,small-2,10.051,8.1003,0.0783
0.076,small-2,10.051,9.4002,0.0953
0.076,small-2,10.051,10.5,0.1121
0.076,small-2,10.051,11.8,0.1294
0.076,small-2,10.051,13.1,0.1462
0.076,small-2,10.051,14.5,0.1639
0.076,small-2,10.051,18.2,0.2054
0.076,small-2,10.051,22,0.2475
0.076,small-2,10.051,25.4,0.2896
0.076,small-2,10.051,29.9,0.3314
0.076,small-2,10.051,34.1,0.3732
0.076,small-2,10.051,40.9,0.4161
0.076,small-2,10.051,64.5,0.4591
0.076,small-2,10.051,168.9,0.5001
0.076,small-2,10.051,271.39,0.5462
0.076,small-2,10.051,278.1,0.6036
0.076,small-2,10.051,393.6,0.6842
0.076,small-2,10.051,534.8,0.7705
0.076,small-3,10.0506,0.10026,0.0007
0.076,small-3,10.0506,1.5104,0.0105
0.076,small-3,10.0506,2.9002,0.0196
0.076,small-3,10.0506,3.9001,0.028
0.076,small-3,10.0506,5.1003,0.0366
0.076,small-3,10.0506,6.1002,0.0448
0.076,small-3,10.0506,7.0003,0.0543
0.076,small-3,10.0506,7.9105,0.0627
0.076,small-3,10.0506,8.3002,0.0709
0.076,small-3,10.0506,9.1001,0.0796
0.076,small-3,10.0506,9.6105,0.0881
0.076,small-3,10.0506,11.1,0.1045
0.076,small-3,10.0506,12.21,0.1212
0.076,small-3,10.0506,13.6,0.1378
0.076,small-3,10.0506,14.81,0.1544
0.076,small-3,10.0506,16.3,0.1712
0.076,small-3,10.0506,22.5,0.2128
0.076,small-3,10.0506,30.4,0.2546
0.076,small-3,10.0506,52.8,0.2945
0.076,small-3,10.0506,115.41,0.3354
0.076,small-3,10.0506,183.6,0.3761
0.076,small-3,10.0506,186,0.4156
0.076,small-3,10.0506,341.89,0.4665
0.076,small-3,10.0506,342.6,0.5062
0.076,small-3,10.0506,343.3,0.5455
0.076,small-3,10.0506,423.5,0.5999
0.076,small-3,10.0506,436.59,0.6741
0.076,small-3,10.0506,565.89,0.7487
0.076,small-4,10.0506,0.41032,0
0.076,small-4,10.0506,2.2103,0.0086
0.076,small-4,10.0506,4.5003,0.0182
0.076,small-4,10.0506,6.3002,0.0267
0.076,small-4,10.0506,8,0.0356
0.076,small-4,10.0506,9.6002,0.0442
0.076,small-4,10.0506,11,0.0525
0.076,small-4,10.0506,12.41,0.0609
0.076,small-4,10.0506,13.5,0.0692
0.076,small-4,10.0506,15.01,0.0781
0.076,small-4,10.0506,16,0.087
0.076,small-4,10.0506,17.4,0.1035
0.076,small-4,10.0506,18.41,0.1198
0.076,small-4,10.0506,20.11,0.1364
0.076,small-4,10.0506,21.41,0.1529
0.076,small-4,10.0506,23.4,0.1696
0.076,small-4,10.0506,27.7,0.2131
0.076,small-4,10.0506,32.6,0.2547
0.076,small-4,10.0506,39.6,0.2965
0.076,small-4,10.0506,48.4,0.3383
0.076,small-4,10.0506,70.81,0.3802
0.076,small-4,10.0506,152.4,0.4146
0.076,small-4,10.0506,156.8,0.4567
0.076,small-4,10.0506,335,0.5057
0.076,small-4,10.0506,335.2,0.5447
0.076,small-4,10.0506,340.39,0.6048
0.076,small-4,10.0506,438.59,0.68
0.076,small-4,10.0506,443.6,0.7527
0.076,small-5,10.0507,0.00023842,-0.0002
0.076,small-5,10.0507,0.90003,0.0075
0.076,small-5,10.0507,2.3,0.0159
0.076,small-5,10.0507,4.0001,0.0252
0.076,small-5,10.0507,5.1,0.034
0.076,small-5,10.0507,6.5,0.0429
0.076,small-5,10.0507,7.8001,0.0516
0.076,small-5,10.0507,9.0001,0.0597
0.076,small-5,10.0507,10,0.0682
0.076,small-5,10.0507,10.7,0.0769
0.076,small-5,10.0507,11.41,0.0851
0.076,small-5,10.0507,13.4,0.1029
0.076,small-5,10.0507,14.3,0.1187
0.076,small-5,10.0507,16,0.1356
0.076,small-5,10.0507,17.5,0.1529
0.076,small-5,10.0507,18.31,0.1693
0.076,small-5,10.0507,22.2,0.2119
0.076,small-5,10.0507,25.3,0.2539
0.076,small-5,10.0507,28.3,0.2963
0.076,small-5,10.0507,31.3,0.3399
0.076,small-5,10.0507,33.9,0.3802
0.076,small-5,10.0507,37.01,0.4218
0.076,small-5,10.0507,41,0.4661
0.076,small-5,10.0507,44.6,0.5082
0.076,small-5,10.0507,47.31,0.5477
0.076,small-5,10.0507,60.51,0.6171
0.076,small-5,10.0507,70.9,0.6896
0.076,small-5,10.0507,407.1,0.7515
0.102,medium-1,10.0511,0.00023842,0.0031
0.102,medium-1,10.0511,0.50008,0.0106
0.102,medium-1,10.0511,1.9903,0.0187
0.102,medium-1,10.0511,3.6001,0.0273
0.102,medium-1,10.0511,5.1001,0.0361
0.102,medium-1,10.0511,6.1001,0.0439
0.102,medium-1,10.0511,7.5903,0.0521
0.102,medium-1,10.0511,9.0002,0.0604
0.102,medium-1,10.0511,9.6902,0.0684
0.102,medium-1,10.0511,10.59,0.0766
0.102,medium-1,10.0511,11.3,0.0847
0.102,medium-1,10.0511,12.6,0.1005
0.102,medium-1,10.0511,13.9,0.117
0.102,medium-1,10.0511,15.2,0.1331
0.102,medium-1,10.0511,15.69,0.1497
0.102,medium-1,10.0511,16.9,0.1666
0.102,medium-1,10.0511,19.7,0.208
0.102,medium-1,10.0511,21.5,0.2491
0.102,medium-1,10.0511,23.39,0.2908
0.102,medium-1,10.0511,25.3,0.3321
0.102,medium-1,10.0511,27.59,0.3752
0.102,medium-1,10.0511,29.3,0.4164
0.102,medium-1,10.0511,31.3,0.4571
0.102,medium-1,10.0511,33.4,0.5001
0.102,medium-1,10.0511,35.7,0.5441
0.102,medium-1,10.0511,43.1,0.6075
0.102,medium-1,10.0511,48.4,0.6833
0.102,medium-1,10.0511,53.1,0.7553
0.102,medium-2,10.0512,0.00023842,0.0002
0.102,medium-2,10.0512,0.70012,0.007
0.102,medium-2,10.0512,1.3001,0.015
0.102,medium-2,10.0512,2.1001,0.0236
0.102,medium-2,10.0512,3.0001,0.0323
0.102,medium-2,10.0512,3.5901,0.0406
0.102,medium-2,10.0512,4.3001,0.0487
0.102,medium-2,10.0512,5.0002,0.0568
0.102,medium-2,10.0512,5.6002,0.0651
0.102,medium-2,10.0512,6.09,0.0734
0.102,medium-2,10.0512,6.3001,0.0815
0.102,medium-2,10.0512,7.3001,0.0985
0.102,medium-2,10.0512,8.0001,0.1148
0.102,medium-2,10.0512,8.8,0.1317
0.102,medium-2,10.0512,9.5901,0.1481
0.102,medium-2,10.0512,10.3,0.1647
0.102,medium-2,10.0512,12.8,0.2081
0.102,medium-2,10.0512,14.69,0.2489
0.102,medium-2,10.0512,17.19,0.2917
0.102,medium-2,10.0512,19.3,0.3338
0.102,medium-2,10.0512,21.49,0.3748
0.102,medium-2,10.0512,23.7,0.4167
0.102,medium-2,10.0512,26.9,0.4594
0.102,medium-2,10.0512,29,0.5019
0.102,medium-2,10.0512,32.19,0.5433
0.102,medium-2,10.0512,41.59,0.6079
0.102,medium-2,10.0512,48.39,0.6837
0.102,medium-2,10.0512,57.79,0.7549
0.102,medium-3,10.0513,-0.099897,-0.0002
0.102,medium-3,10.0513,1.9001,0.0073
0.102,medium-3,10.0513,4.2002,0.0164
0.102,medium-3,10.0513,5.5903,0.0254
0.102,medium-3,10.0513,7.4,0.0334
0.102,medium-3,10.0513,8.4002,0.0413
